PRICE,YEAR,MILEAGE,CITY,STATE,MAKE,MODEL
52750,2017,8318,341,19,8,3011
13998,2008,77206,55,14,8,3011
39977,2017,3711,824,10,8,3011
12995,2011,73900,315,19,8,3011
15990,2011,82802,153,33,8,3011
39987,2017,8902,186,1,8,3011
17400,2015,23360,40,1,8,3011
20999,2015,2286,310,26,8,3011
16950,2015,35058,384,18,8,3011
13995,2010,77924,362,41,8,3011
15494,2010,81027,135,1,8,3011
57990,2017,7217,58,1,8,3011
27495,2014,56715,149,1,8,3011
12000,2007,98184,23,15,8,3011
8988,2007,188752,263,24,8,3011
209899,2017,3696,384,9,8,3011
134880,2013,12400,301,17,8,3011
62000,2007,40417,324,10,8,3011
19944,2016,11964,321,10,8,3011
14990,2013,29336,94,5,8,3011
16985,2014,20094,256,37,8,3011
16995,2014,38182,435,5,8,3011
18800,2013,24524,395,19,8,3011
7488,2005,93940,1631,29,8,3011
20900,2011,90829,53,5,8,3011
24400,2013,56164,222,3,8,3011
24877,2012,65012,99,28,8,3011
22992,2013,71971,408,10,8,3011
23777,2012,52202,505,30,8,3011
39497,2017,4777,1940,9,8,3011
27997,2014,18603,298,19,8,3011
29989,2014,22945,38,12,8,3011
16988,2013,90708,48,10,8,3011
45990,2017,4607,159,12,8,3011
33448,2014,20082,351,5,8,3011
52994,2017,6823,314,9,8,3011
16900,2012,67000,51,9,8,3011
20900,2012,44333,59,15,8,3011
43900,2014,34174,305,2,8,3011
40998,2015,27054,250,19,8,3011
39300,2014,32257,237,1,8,3011
39995,2015,36381,588,25,8,3011
56838,2017,4812,324,4,8,3011
20500,2011,72324,394,3,8,3011
31734,2013,64816,86,14,8,3011
37995,2014,44640,31,1,8,3011
31000,2013,44791,388,22,8,3011
12618,2009,120960,330,43,8,3011
11694,2008,107046,296,2,8,3011
27877,2014,34056,617,28,8,3011
28991,2015,16032,129,9,8,3011
34500,2016,8832,343,10,8,3011
9945,2009,138911,185,10,8,3011
18999,2013,72318,156,16,8,3011
30995,2014,36365,657,29,8,3011
46660,2017,2599,912,28,8,3011
32999,2015,33931,244,37,8,3011
30935,2015,47071,202,6,8,3011
6881,2005,101359,881,17,8,3011
16999,2011,76954,25,28,8,3011
19495,2011,80592,342,5,8,3011
16995,2010,128871,50,18,8,3011
21821,2012,57536,220,18,8,3011
10495,2005,86814,578,14,8,3011
5995,2008,129060,315,27,8,3011
13994,2012,26387,1185,9,8,3011
22995,2017,20032,23,1,8,3011
21995,2015,24269,329,21,8,3011
16988,2015,30510,56,2,8,3011
5672,2005,91141,331,17,8,3011
13977,2011,41582,1761,29,8,3011
7244,2006,107589,81,25,8,3011
16599,2013,43639,326,5,8,3011
12795,2012,78218,123,5,8,3011
8995,2010,33036,237,28,8,3011
18700,2014,30897,245,15,8,3011
18995,2014,23049,296,21,8,3011
17500,2015,35046,61,28,8,3011
35990,2017,4251,53,3,8,3011
33500,2016,17,10,19,8,3011
22950,2015,40942,615,19,8,3011
16615,2011,56732,175,5,8,3011
9398,2006,104440,145,29,8,3011
7991,2004,89979,1351,3,8,3011
8500,2010,115456,185,9,8,3010
23900,2016,15850,285,17,8,3010
31995,2014,61285,87,29,8,3010
3999,2003,108855,633,3,8,3010
30995,2017,13130,181,12,8,3009
36488,2017,4558,1480,14,8,3009
51402,2015,28039,87,21,8,3009
27724,2014,17492,110,19,8,3009
12982,2009,55278,338,11,8,3009
29900,2015,33029,201,1,8,3009
34995,2014,26114,48,2,8,3009
27000,2015,24076,201,2,8,3009
10995,2011,134815,335,16,8,3009
33528,2012,77452,167,11,8,3009
22796,2014,55641,241,2,8,3009
20000,2014,66536,247,1,8,3009
24475,2014,30619,302,3,8,3009
24500,2014,35086,151,18,8,3009
31488,2014,23240,299,10,8,3009
23900,2014,22308,180,3,8,3009
22913,2014,38417,395,9,8,3009
19990,2013,41401,636,2,8,3009
28849,2015,13220,227,1,8,3009
26750,2013,40123,439,13,8,3009
9950,2009,94972,50,16,8,3009
22900,2012,43443,217,10,8,3009
33998,2016,24785,55,4,8,3009
27991,2016,4450,316,1,8,3009
33000,2015,40281,333,1,8,3009
47950,2015,27681,233,4,8,3009
52888,2017,24955,174,1,8,3009
19900,2008,57170,238,10,8,3009
48991,2007,38983,25,3,8,3009
19000,2014,35526,1606,3,8,3009
21275,2016,9764,229,33,8,3009
14610,2009,32576,30,1,8,3009
32877,2015,36386,369,28,8,3009
30000,2015,44682,158,24,8,3009
27994,2014,72724,758,19,8,3009
10900,2010,106446,167,4,8,3009
45988,2017,5954,222,19,8,3009
39877,2016,24822,392,2,8,3009
6988,2006,157382,604,3,8,3009
19890,2012,78030,547,10,8,3009
15000,2014,26418,332,6,8,3009
14891,2014,36549,645,23,8,3009
7950,2007,87877,28,5,8,3009
12800,2010,40193,300,29,8,3009
19000,2015,23779,342,1,8,3009
25815,2015,34927,145,9,8,3009
15999,2012,50124,443,6,8,3009
